Position,Track Name,Artist,Streams,URL,chart_start_date,chart_end_date,chart_country,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist_genre,album_release_date,album_type
1,Dance Monkey,Tones And I,43692654,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,2020-02-14,2020-02-21,GLB,0.826,0.593,6,-6.401,0,0.0976,0.688,0.000161,0.17,0.541,98.083,audio_features,1rgnBhdG2JDFTbYkYRZAku,spotify:track:1rgnBhdG2JDFTbYkYRZAku,https://api.spotify.com/v1/tracks/1rgnBhdG2JDFTbYkYRZAku,https://api.spotify.com/v1/audio-analysis/1rgnBhdG2JDFTbYkYRZAku,209755,4,Pop,2019-05-10,single
2,The Box,Roddy Ricch,42387090,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I,2020-02-14,2020-02-21,GLB,0.896,0.586,10,-6.687,0,0.0559,0.104,0.0,0.79,0.642,116.971,audio_features,0nbXyq5TXYPCO7pr3N8S4I,spotify:track:0nbXyq5TXYPCO7pr3N8S4I,https://api.spotify.com/v1/tracks/0nbXyq5TXYPCO7pr3N8S4I,https://api.spotify.com/v1/audio-analysis/0nbXyq5TXYPCO7pr3N8S4I,196653,4,Hip hop,2019-12-06,album
3,Blinding Lights,The Weeknd,42033465,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,2020-02-14,2020-02-21,GLB,0.513,0.796,1,-4.075,1,0.0629,0.00147,0.000209,0.0938,0.345,171.017,audio_features,0sf12qNH5qcw8qpgymFOqD,spotify:track:0sf12qNH5qcw8qpgymFOqD,https://api.spotify.com/v1/tracks/0sf12qNH5qcw8qpgymFOqD,https://api.spotify.com/v1/audio-analysis/0sf12qNH5qcw8qpgymFOqD,201573,4,Soul and R&B,2019-11-29,single
4,No Time To Die,Billie Eilish,36473566,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR,2020-02-14,2020-02-21,GLB,0.38,0.219,4,-13.273,0,0.0358,0.917,0.0104,0.0827,0.0517,73.537,audio_features,73SpzrcaHk0RQPFP73vqVR,spotify:track:73SpzrcaHk0RQPFP73vqVR,https://api.spotify.com/v1/tracks/73SpzrcaHk0RQPFP73vqVR,https://api.spotify.com/v1/audio-analysis/73SpzrcaHk0RQPFP73vqVR,242265,4,Pop,2020-02-13,single
5,Intentions (feat. Quavo),Justin Bieber,35379447,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV,2020-02-14,2020-02-21,GLB,0.806,0.546,9,-6.637,1,0.0575,0.3,0.0,0.102,0.874,147.986,audio_features,4umIPjkehX1r7uhmGvXiSV,spotify:track:4umIPjkehX1r7uhmGvXiSV,https://api.spotify.com/v1/tracks/4umIPjkehX1r7uhmGvXiSV,https://api.spotify.com/v1/audio-analysis/4umIPjkehX1r7uhmGvXiSV,212867,4,Pop,2020-02-14,album
6,Don't Start Now,Dua Lipa,32931653,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,2020-02-14,2020-02-21,GLB,0.794,0.793,11,-4.521,0,0.0842,0.0125,0.0,0.0952,0.677,123.941,audio_features,6WrI0LAC5M1Rw2MnX2ZvEg,spotify:track:6WrI0LAC5M1Rw2MnX2ZvEg,https://api.spotify.com/v1/tracks/6WrI0LAC5M1Rw2MnX2ZvEg,https://api.spotify.com/v1/audio-analysis/6WrI0LAC5M1Rw2MnX2ZvEg,183290,4,Pop,2019-10-31,single
7,Yummy,Justin Bieber,29921795,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR,2020-02-14,2020-02-21,GLB,0.676,0.506,9,-6.652,0,0.0958,0.345,0.0,0.118,0.497,145.842,audio_features,16wAOAZ2OkqoIDN7TpChjR,spotify:track:16wAOAZ2OkqoIDN7TpChjR,https://api.spotify.com/v1/tracks/16wAOAZ2OkqoIDN7TpChjR,https://api.spotify.com/v1/audio-analysis/16wAOAZ2OkqoIDN7TpChjR,208520,4,Pop,2020-02-14,album
8,Tusa,KAROL G,29849584,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY,2020-02-14,2020-02-21,GLB,0.803,0.715,2,-3.28,1,0.298,0.295,0.000134,0.0574,0.574,101.085,audio_features,7k4t7uLgtOxPwTpFmtJNTY,spotify:track:7k4t7uLgtOxPwTpFmtJNTY,https://api.spotify.com/v1/tracks/7k4t7uLgtOxPwTpFmtJNTY,https://api.spotify.com/v1/audio-analysis/7k4t7uLgtOxPwTpFmtJNTY,200960,4,Latin,2019-11-07,single
9,Falling,Trevor Daniel,28709550,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa,2020-02-14,2020-02-21,GLB,0.785,0.431,10,-8.756,0,0.0364,0.123,0.0,0.0887,0.236,127.085,audio_features,4TnjEaWOeW0eKTKIEvJyCa,spotify:track:4TnjEaWOeW0eKTKIEvJyCa,https://api.spotify.com/v1/tracks/4TnjEaWOeW0eKTKIEvJyCa,https://api.spotify.com/v1/audio-analysis/4TnjEaWOeW0eKTKIEvJyCa,159382,4,Soul and R&B,2018-10-05,single
10,ROXANNE,Arizona Zervas,27052997,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,2020-02-14,2020-02-21,GLB,0.621,0.601,6,-5.616,0,0.148,0.0522,0.0,0.46,0.457,116.735,audio_features,696DnlkuDOXcMAnKlTgXXK,spotify:track:696DnlkuDOXcMAnKlTgXXK,https://api.spotify.com/v1/tracks/696DnlkuDOXcMAnKlTgXXK,https://api.spotify.com/v1/audio-analysis/696DnlkuDOXcMAnKlTgXXK,163636,5,Pop,2019-10-10,single
