Position,Track Name,Artist,Streams,URL,chart_start_date,chart_end_date,chart_country,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist_genre,album_release_date,album_type
1,ภาพจำ,Pop Pongkool,95710,https://open.spotify.com/track/4YRpjJaJpiI36HM36Dn5lS,2018-05-25,2018-06-01,THA,0.557,0.585,5,-7.559,0,0.047,0.426,1.03e-06,0.144,0.464,81.922,audio_features,4YRpjJaJpiI36HM36Dn5lS,spotify:track:4YRpjJaJpiI36HM36Dn5lS,https://api.spotify.com/v1/tracks/4YRpjJaJpiI36HM36Dn5lS,https://api.spotify.com/v1/audio-analysis/4YRpjJaJpiI36HM36Dn5lS,274000,4,Pop,2018-02-23,single
2,FAKE LOVE,BTS,91889,https://open.spotify.com/track/3aW0ds4A4tSQDIp75FqWTo,2018-05-25,2018-06-01,THA,0.557,0.719,2,-4.515,0,0.0372,0.00267,0.0,0.306,0.344,77.501,audio_features,3aW0ds4A4tSQDIp75FqWTo,spotify:track:3aW0ds4A4tSQDIp75FqWTo,https://api.spotify.com/v1/tracks/3aW0ds4A4tSQDIp75FqWTo,https://api.spotify.com/v1/audio-analysis/3aW0ds4A4tSQDIp75FqWTo,242334,4,Pop,2018-05-18,album
3,นอนได้แล้ว,F.HERO,83240,https://open.spotify.com/track/5JhLoyD2idGlKXwD9nmYuB,2018-05-25,2018-06-01,THA,0.68,0.712,1,-6.939,1,0.183,0.106,0.0,0.0755,0.696,167.976,audio_features,5JhLoyD2idGlKXwD9nmYuB,spotify:track:5JhLoyD2idGlKXwD9nmYuB,https://api.spotify.com/v1/tracks/5JhLoyD2idGlKXwD9nmYuB,https://api.spotify.com/v1/audio-analysis/5JhLoyD2idGlKXwD9nmYuB,217143,4,Hip hop,2018-03-22,single
4,บอกตัวเอง (feat. โป่ง หินเหล็กไฟ),Room 39,80955,https://open.spotify.com/track/3WQe3r4R1lnJs75ty9UYDF,2018-05-25,2018-06-01,THA,0.537,0.522,7,-6.419,1,0.0334,0.126,0.0,0.109,0.193,145.956,audio_features,3WQe3r4R1lnJs75ty9UYDF,spotify:track:3WQe3r4R1lnJs75ty9UYDF,https://api.spotify.com/v1/tracks/3WQe3r4R1lnJs75ty9UYDF,https://api.spotify.com/v1/audio-analysis/3WQe3r4R1lnJs75ty9UYDF,228000,4,Pop,2018-05-21,single
5,Good Morning Teacher,Atom Chanakan,77599,https://open.spotify.com/track/4AsE3bvoh6yuZls617lj4Z,2018-05-25,2018-06-01,THA,0.619,0.576,0,-7.367,1,0.0893,0.597,7.14e-06,0.195,0.536,97.886,audio_features,4AsE3bvoh6yuZls617lj4Z,spotify:track:4AsE3bvoh6yuZls617lj4Z,https://api.spotify.com/v1/tracks/4AsE3bvoh6yuZls617lj4Z,https://api.spotify.com/v1/audio-analysis/4AsE3bvoh6yuZls617lj4Z,206867,4,Pop,2017-12-07,album
6,แอบบอกรัก,Jaonaay,71802,https://open.spotify.com/track/1xJP5BQBwQRl59B6EGcujF,2018-05-25,2018-06-01,THA,0.574,0.628,8,-6.767,1,0.0321,0.394,0.0,0.181,0.636,140.019,audio_features,1xJP5BQBwQRl59B6EGcujF,spotify:track:1xJP5BQBwQRl59B6EGcujF,https://api.spotify.com/v1/tracks/1xJP5BQBwQRl59B6EGcujF,https://api.spotify.com/v1/audio-analysis/1xJP5BQBwQRl59B6EGcujF,180717,4,Pop,2018-05-18,single
7,หมอกร้าย feat. Fongbeer and Kob the X factor,Lipta,71713,https://open.spotify.com/track/0EYgFMIXhjcFgX6xe2NY9v,2018-05-25,2018-06-01,THA,0.555,0.593,9,-6.321,1,0.0674,0.718,0.0,0.101,0.482,176.026,audio_features,0EYgFMIXhjcFgX6xe2NY9v,spotify:track:0EYgFMIXhjcFgX6xe2NY9v,https://api.spotify.com/v1/tracks/0EYgFMIXhjcFgX6xe2NY9v,https://api.spotify.com/v1/audio-analysis/0EYgFMIXhjcFgX6xe2NY9v,285002,4,Pop,2018-04-03,single
8,ถ้าฉันหายไป(Skyline),Earth Patravee,69136,https://open.spotify.com/track/0goff2JabkZTEq1yKeyoM8,2018-05-25,2018-06-01,THA,0.454,0.29,8,-10.707,1,0.0318,0.826,0.0,0.119,0.208,169.757,audio_features,0goff2JabkZTEq1yKeyoM8,spotify:track:0goff2JabkZTEq1yKeyoM8,https://api.spotify.com/v1/tracks/0goff2JabkZTEq1yKeyoM8,https://api.spotify.com/v1/audio-analysis/0goff2JabkZTEq1yKeyoM8,220112,4,Pop,2018-02-20,single
9,คนที่ไม่ใช่,O-Pavee,67469,https://open.spotify.com/track/76rs0Apd4Ct5LwJm8pB6r1,2018-05-25,2018-06-01,THA,0.553,0.484,9,-8.12,1,0.0326,0.807,8.51e-05,0.114,0.196,135.866,audio_features,76rs0Apd4Ct5LwJm8pB6r1,spotify:track:76rs0Apd4Ct5LwJm8pB6r1,https://api.spotify.com/v1/tracks/76rs0Apd4Ct5LwJm8pB6r1,https://api.spotify.com/v1/audio-analysis/76rs0Apd4Ct5LwJm8pB6r1,268329,4,Pop,2018-03-15,single
10,Day 1 ◑,HONNE,65019,https://open.spotify.com/track/7AWZvcyaSBxRzaBJcHf9XL,2018-05-25,2018-06-01,THA,0.503,0.581,6,-7.007,1,0.0881,0.21,0.000708,0.257,0.633,94.555,audio_features,7AWZvcyaSBxRzaBJcHf9XL,spotify:track:7AWZvcyaSBxRzaBJcHf9XL,https://api.spotify.com/v1/tracks/7AWZvcyaSBxRzaBJcHf9XL,https://api.spotify.com/v1/audio-analysis/7AWZvcyaSBxRzaBJcHf9XL,233601,4,Soul and R&B,2018-03-29,single
