Position,Track Name,Artist,Streams,URL,chart_start_date,chart_end_date,chart_country,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist_genre,album_release_date,album_type
1,DDU-DU DDU-DU,BLACKPINK,179476,https://open.spotify.com/track/7b8YOVV5quZcSKEijDgyWB,2018-06-22,2018-06-29,THA,0.671,0.859,4,-3.922,0,0.0833,0.0313,0.0,0.267,0.39,139.931,audio_features,7b8YOVV5quZcSKEijDgyWB,spotify:track:7b8YOVV5quZcSKEijDgyWB,https://api.spotify.com/v1/tracks/7b8YOVV5quZcSKEijDgyWB,https://api.spotify.com/v1/audio-analysis/7b8YOVV5quZcSKEijDgyWB,209355,4,Pop,2018-06-15,single
2,บอกตัวเอง (feat. โป่ง หินเหล็กไฟ),Room 39,112913,https://open.spotify.com/track/3WQe3r4R1lnJs75ty9UYDF,2018-06-22,2018-06-29,THA,0.537,0.522,7,-6.419,1,0.0334,0.126,0.0,0.109,0.193,145.956,audio_features,3WQe3r4R1lnJs75ty9UYDF,spotify:track:3WQe3r4R1lnJs75ty9UYDF,https://api.spotify.com/v1/tracks/3WQe3r4R1lnJs75ty9UYDF,https://api.spotify.com/v1/audio-analysis/3WQe3r4R1lnJs75ty9UYDF,228000,4,Pop,2018-05-21,single
3,Forever Young,BLACKPINK,109783,https://open.spotify.com/track/2naEVOadudtXHwtZNfjMDM,2018-06-22,2018-06-29,THA,0.592,0.961,4,-1.807,1,0.096,0.0423,0.0,0.0882,0.508,109.826,audio_features,2naEVOadudtXHwtZNfjMDM,spotify:track:2naEVOadudtXHwtZNfjMDM,https://api.spotify.com/v1/tracks/2naEVOadudtXHwtZNfjMDM,https://api.spotify.com/v1/audio-analysis/2naEVOadudtXHwtZNfjMDM,237077,4,Pop,2018-06-15,single
4,Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5,107897,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,2018-06-22,2018-06-29,THA,0.851,0.541,0,-6.825,1,0.0505,0.568,0.0,0.13,0.448,124.959,audio_features,7fa9MBXhVfQ8P8Df9OEbD8,spotify:track:7fa9MBXhVfQ8P8Df9OEbD8,https://api.spotify.com/v1/tracks/7fa9MBXhVfQ8P8Df9OEbD8,https://api.spotify.com/v1/audio-analysis/7fa9MBXhVfQ8P8Df9OEbD8,235545,4,Pop,2018-06-15,album
5,ภาพจำ,Pop Pongkool,101950,https://open.spotify.com/track/4YRpjJaJpiI36HM36Dn5lS,2018-06-22,2018-06-29,THA,0.557,0.585,5,-7.559,0,0.047,0.426,1.03e-06,0.144,0.464,81.922,audio_features,4YRpjJaJpiI36HM36Dn5lS,spotify:track:4YRpjJaJpiI36HM36Dn5lS,https://api.spotify.com/v1/tracks/4YRpjJaJpiI36HM36Dn5lS,https://api.spotify.com/v1/audio-analysis/4YRpjJaJpiI36HM36Dn5lS,274000,4,Pop,2018-02-23,single
6,หมอกร้าย feat. Fongbeer and Kob the X factor,Lipta,96102,https://open.spotify.com/track/0EYgFMIXhjcFgX6xe2NY9v,2018-06-22,2018-06-29,THA,0.555,0.593,9,-6.321,1,0.0674,0.718,0.0,0.101,0.482,176.026,audio_features,0EYgFMIXhjcFgX6xe2NY9v,spotify:track:0EYgFMIXhjcFgX6xe2NY9v,https://api.spotify.com/v1/tracks/0EYgFMIXhjcFgX6xe2NY9v,https://api.spotify.com/v1/audio-analysis/0EYgFMIXhjcFgX6xe2NY9v,285002,4,Pop,2018-04-03,single
7,นอนได้แล้ว,F.HERO,89421,https://open.spotify.com/track/5JhLoyD2idGlKXwD9nmYuB,2018-06-22,2018-06-29,THA,0.68,0.712,1,-6.939,1,0.183,0.106,0.0,0.0755,0.696,167.976,audio_features,5JhLoyD2idGlKXwD9nmYuB,spotify:track:5JhLoyD2idGlKXwD9nmYuB,https://api.spotify.com/v1/tracks/5JhLoyD2idGlKXwD9nmYuB,https://api.spotify.com/v1/audio-analysis/5JhLoyD2idGlKXwD9nmYuB,217143,4,Hip hop,2018-03-22,single
8,ถ้าเธอต้องเลือก,Illslick,86490,https://open.spotify.com/track/5Of65kRDivh4UHG3SG5Iad,2018-06-22,2018-06-29,THA,0.853,0.585,7,-4.098,1,0.0474,0.807,0.0,0.175,0.678,117.694,audio_features,5Of65kRDivh4UHG3SG5Iad,spotify:track:5Of65kRDivh4UHG3SG5Iad,https://api.spotify.com/v1/tracks/5Of65kRDivh4UHG3SG5Iad,https://api.spotify.com/v1/audio-analysis/5Of65kRDivh4UHG3SG5Iad,188783,4,Hip hop,2018-03-09,single
9,Back To You,Selena Gomez,80875,https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9,2018-06-22,2018-06-29,THA,0.6,0.683,6,-6.271,1,0.0493,0.0984,1.26e-06,0.11,0.494,102.036,audio_features,514rhnksEwHUh6LxXsQ4Y9,spotify:track:514rhnksEwHUh6LxXsQ4Y9,https://api.spotify.com/v1/tracks/514rhnksEwHUh6LxXsQ4Y9,https://api.spotify.com/v1/audio-analysis/514rhnksEwHUh6LxXsQ4Y9,210240,4,Pop,2018-05-18,compilation
10,Good Morning Teacher,Atom Chanakan,78468,https://open.spotify.com/track/4AsE3bvoh6yuZls617lj4Z,2018-06-22,2018-06-29,THA,0.619,0.576,0,-7.367,1,0.0893,0.597,7.14e-06,0.195,0.536,97.886,audio_features,4AsE3bvoh6yuZls617lj4Z,spotify:track:4AsE3bvoh6yuZls617lj4Z,https://api.spotify.com/v1/tracks/4AsE3bvoh6yuZls617lj4Z,https://api.spotify.com/v1/audio-analysis/4AsE3bvoh6yuZls617lj4Z,206867,4,Pop,2017-12-07,album
